Match Day Number,Date of the Game,Home Team,Away Team,Result,Goal Scorers,Yellow Cards,Yellow Card Players,Red Cards,Red Card Players,Attendance
28,2024-02-23 15:30,Donnerwald Thunder,Hafenstadt Mariners,2-3,"Florian Kaya, Patrick Larsen, Timo Lehmann, Timo Krämer, Marco Lehmann",4,"Lukas Lehmann, Ismael Krämer, Marco Huber, Mamadou Larsen",1,Patrick Schmidt,24895
28,2024-02-23 18:30,Kaiserstadt Kings,Alpenheim Warriors,2-2,"Ismael Larsen, Santiago Huber, Florian Becker, Ismael Becker",0,,0,,47354
28,2024-02-23 15:30,Ostheim Phoenix,Adlerstadt Eagles,5-3,"Florian Larsen, Marco Huber, Mamadou Huber, Ismael Huber, Ismael Traoré, Marco Schmidt, Mamadou García, Marco Lehmann",2,"Patrick Larsen, Yusuf Huber",0,,25003
28,2024-02-23 17:30,Sonnendorf Stars,Bergland Bears,2-1,"Florian Becker, Lukas Lehmann, Yusuf Schmidt",2,"Florian Lehmann, Yusuf García",1,Ismael Huber,31587
29,2024-03-01 20:30,Adlerstadt Eagles,Mainburg Lions,5-3,"Mamadou Krämer, Ismael García, Florian Müller, Yusuf Larsen, Yusuf Huber, Lukas Müller, Yusuf Lehmann, Jonas Kaya",1,Marco Huber,1,Lukas Müller,62234
29,2024-03-01 15:30,Eisbach Falcons,Donnerwald Thunder,2-2,"Emil García, Marco Larsen, Emil Lehmann, Santiago Larsen",4,"Jonas Becker, Marco Lehmann, Jonas Schmidt, Santiago Larsen",1,Jonas Becker,18443
29,2024-03-01 15:30,Elbwelle Titans,Hafenstadt Mariners,3-3,"Timo Krämer, Patrick Becker, Patrick Schmidt, Patrick Schmidt, Emil Becker, Lukas Lehmann",3,"Marco Schmidt, Yusuf Schmidt, Ismael Larsen",0,,24271
29,2024-03-01 15:30,Hansestadt Gladiators,Sonnendorf Stars,2-4,"Patrick Larsen, Emil Traoré, Ismael Schmidt, Mamadou Becker, Patrick Becker, Emil Huber",0,,1,Ismael Schmidt,41891
29,2024-03-01 15:30,Bayerhafen Dynamo,Kaiserstadt Kings,0-3,"Santiago Becker, Yusuf Larsen, Yusuf Lehmann",4,"Santiago Kaya, Jonas Krämer, Santiago Becker, Yusuf Larsen",0,,46598
29,2024-03-01 15:30,Alpenheim Warriors,Bergland Bears,4-4,"Yusuf García, Marco Müller, Lukas Larsen, Patrick Kaya, Jonas Schmidt, Santiago Silva, Florian Krämer, Santiago Lehmann",3,"Jonas Kaya, Lukas Lehmann, Patrick Kaya",0,,23855
29,2024-03-01 18:30,Blitzstadt Lightning,Rheinblick Rovers,3-5,"Yusuf Lehmann, Patrick Krämer, Marco Huber, Emil Silva, Santiago Silva, Jonas Lehmann, Yusuf García, Timo Krämer",4,"Mamadou Silva, Florian Silva, Florian Traoré, Santiago Larsen",0,,34998
29,2024-03-01 15:30,Ostheim Phoenix,Weserwind Wolves,4-4,"Patrick Kaya, Santiago Krämer, Mamadou Schmidt, Lukas Silva, Florian Krämer, Patrick Müller, Emil Kaya, Lukas Huber",1,Marco Traoré,1,Mamadou García,33990
29,2024-03-01 17:30,Schwarzwald Strikers,Nordsee Navigators,5-3,"Florian Lehmann, Emil Schmidt, Timo Müller, Jonas Silva, Lukas García, Jonas Schmidt, Timo García, Florian Huber",1,Lukas García,1,Patrick Silva,34242
30,2024-03-08 20:30,Hafenstadt Mariners,Hansestadt Gladiators,0-3,"Marco Krämer, Jonas Huber, Lukas Krämer",3,"Patrick Silva, Timo Krämer, Timo Lehmann",1,Mamadou Müller,36592
30,2024-03-08 15:30,Mainburg Lions,Sonnendorf Stars,4-4,"Patrick Larsen, Marco Larsen, Yusuf Huber, Patrick Lehmann, Ismael García, Mamadou Silva, Florian Silva, Mamadou Traoré",4,"Mamadou Traoré, Santiago Huber, Lukas Müller, Patrick Lehmann",1,Ismael Traoré,47934
30,2024-03-08 15:30,Adlerstadt Eagles,Schwarzwald Strikers,5-3,"Marco Lehmann, Ismael Müller, Timo Krämer, Lukas Silva, Patrick Silva, Santiago Silva, Florian Larsen, Santiago Huber",0,,1,Jonas Kaya,53225
30,2024-03-08 15:30,Alpenheim Warriors,Nordsee Navigators,1-5,"Florian Müller, Ismael Müller, Florian Huber, Marco Schmidt, Lukas García, Jonas Schmidt",4,"Santiago Huber, Florian Müller, Ismael Kaya, Marco Müller",1,Ismael Silva,24910
30,2024-03-08 15:30,Bergland Bears,Donnerwald Thunder,5-4,"Lukas Lehmann, Yusuf García, Lukas García, Marco Krämer, Ismael Kaya, Yusuf Kaya, Marco Krämer, Mamadou Huber, Patrick Larsen",3,"Mamadou Huber, Mamadou Traoré, Marco Krämer",0,,18221
30,2024-03-08 15:30,Bayerhafen Dynamo,Elbwelle Titans,2-3,"Emil Schmidt, Emil Müller, Yusuf Lehmann, Santiago Kaya, Florian Schmidt",3,"Mamadou Schmidt, Florian García, Ismael Traoré",0,,49331
30,2024-03-08 18:30,Rheinblick Rovers,Ostheim Phoenix,1-1,"Ismael Huber, Marco Lehmann",3,"Ismael Becker, Yusuf Krämer, Lukas Müller",1,Jonas Huber,36255
30,2024-03-08 15:30,Eisbach Falcons,Blitzstadt Lightning,1-1,"Yusuf Lehmann, Mamadou Larsen",2,"Lukas García, Jonas Schmidt",0,,17260
30,2024-03-08 17:30,Kaiserstadt Kings,Weserwind Wolves,0-0,,0,,1,Jonas Lehmann,47159
31,2024-03-15 20:30,Alpenheim Warriors,Hansestadt Gladiators,4-5,"Emil García, Florian Traoré, Timo Lehmann, Emil Traoré, Jonas Huber, Patrick Silva, Jonas Müller, Jonas Krämer, Emil Traoré",1,Yusuf Kaya,0,,20853
31,2024-03-15 15:30,Mainburg Lions,Elbwelle Titans,0-5,"Santiago Huber, Mamadou Becker, Emil Becker, Timo Huber, Jonas Müller",4,"Marco Larsen, Santiago Huber, Marco Larsen, Santiago Huber",1,Lukas Lehmann,53711
31,2024-03-15 15:30,Schwarzwald Strikers,Weserwind Wolves,2-3,"Lukas Huber, Patrick Silva, Emil Schmidt, Timo Müller, Lukas Kaya",3,"Yusuf García, Patrick Becker, Timo García",0,,29117
31,2024-03-15 15:30,Sonnendorf Stars,Hafenstadt Mariners,4-5,"Florian Silva, Yusuf Schmidt, Mamadou Larsen, Ismael Larsen, Ismael Krämer, Jonas Müller, Florian Kaya, Patrick Müller, Florian Kaya",0,,0,,22971
31,2024-03-15 15:30,Rheinblick Rovers,Bayerhafen Dynamo,1-2,"Timo Becker, Patrick Lehmann, Patrick Krämer",2,"Marco Becker, Jonas Schmidt",0,,45851
31,2024-03-15 15:30,Nordsee Navigators,Adlerstadt Eagles,5-0,"Lukas Silva, Florian Huber, Mamadou Kaya, Ismael Traoré, Florian Huber",1,Florian Becker,0,,40977
31,2024-03-15 18:30,Ostheim Phoenix,Donnerwald Thunder,3-1,"Timo Kaya, Patrick Müller, Florian Silva, Marco García",2,"Emil Lehmann, Emil Lehmann",0,,34415
31,2024-03-15 15:30,Kaiserstadt Kings,Blitzstadt Lightning,4-0,"Emil Traoré, Ismael Larsen, Florian Becker, Mamadou Larsen",1,Ismael Larsen,0,,46205
31,2024-03-15 17:30,Eisbach Falcons,Bergland Bears,5-3,"Marco Krämer, Lukas Lehmann, Timo Traoré, Florian Becker, Jonas Kaya, Mamadou Krämer, Florian Kaya, Mamadou Krämer",4,"Mamadou Huber, Lukas Lehmann, Lukas Traoré, Yusuf García",1,Jonas Kaya,17085
32,2024-03-22 20:30,Kaiserstadt Kings,Elbwelle Titans,1-4,"Florian Schmidt, Ismael García, Yusuf Larsen, Marco Becker, Mamadou Becker",4,"Emil Schmidt, Mamadou Becker, Jonas Silva, Yusuf Schmidt",0,,44118
32,2024-03-22 15:30,Eisbach Falcons,Hafenstadt Mariners,3-1,"Lukas Lehmann, Patrick Müller, Ismael Krämer, Ismael Larsen",3,"Ismael Larsen, Timo Müller, Yusuf Krämer",0,,18663
32,2024-03-22 15:30,Bergland Bears,Adlerstadt Eagles,3-0,"Ismael Traoré, Patrick Krämer, Mamadou Kaya",2,"Mamadou Larsen, Jonas Silva",1,Santiago Lehmann,14564
32,2024-03-22 15:30,Schwarzwald Strikers,Mainburg Lions,5-4,"Ismael Traoré, Lukas Silva, Timo García, Jonas Silva, Yusuf García, Ismael Schmidt, Santiago Huber, Yusuf Lehmann, Mamadou Huber",3,"Marco Larsen, Jonas Silva, Mamadou Traoré",1,Yusuf Lehmann,31696
32,2024-03-22 15:30,Ostheim Phoenix,Hansestadt Gladiators,2-0,"Marco Huber, Florian Traoré",4,"Florian Traoré, Lukas Krämer, Patrick Larsen, Jonas Lehmann",1,Emil Traoré,26883
32,2024-03-22 15:30,Blitzstadt Lightning,Sonnendorf Stars,0-3,"Florian Larsen, Florian Kaya, Florian Lehmann",0,,1,Santiago Becker,45820
32,2024-03-22 18:30,Weserwind Wolves,Rheinblick Rovers,2-5,"Patrick Krämer, Marco Huber, Santiago Huber, Florian Traoré, Patrick Krämer, Emil Traoré, Lukas Silva",2,"Jonas Müller, Yusuf Müller",0,,31967
32,2024-03-22 15:30,Bayerhafen Dynamo,Donnerwald Thunder,1-3,"Emil Müller, Ismael Krämer, Marco Krämer, Emil Krämer",0,,1,Jonas Huber,51306
32,2024-03-22 17:30,Nordsee Navigators,Alpenheim Warriors,4-1,"Florian Krämer, Marco Schmidt, Jonas Huber, Marco Müller, Jonas Traoré",1,Florian Huber,1,Jonas Krämer,29849
33,2024-03-29 20:30,Schwarzwald Strikers,Rheinblick Rovers,1-1,"Emil Silva, Patrick Silva",1,Santiago Huber,0,,29461
33,2024-03-29 15:30,Hansestadt Gladiators,Eisbach Falcons,3-4,"Lukas Lehmann, Marco Kaya, Ismael Lehmann, Emil Huber, Ismael Schmidt, Florian Kaya, Ismael Huber",0,,1,Marco Traoré,34527
33,2024-03-29 15:30,Blitzstadt Lightning,Ostheim Phoenix,0-3,"Ismael Becker, Patrick Müller, Emil Krämer",3,"Mamadou Huber, Patrick Müller, Marco Huber",0,,42912
33,2024-03-29 15:30,Mainburg Lions,Adlerstadt Eagles,1-0,Ismael Traoré,3,"Mamadou Traoré, Marco Kaya, Marco Huber",1,Timo Krämer,44806
33,2024-03-29 15:30,Bayerhafen Dynamo,Nordsee Navigators,5-3,"Patrick Schmidt, Ismael Krämer, Emil Larsen, Marco Traoré, Patrick Kaya, Timo Becker, Marco Huber, Marco Schmidt",2,"Marco Lehmann, Emil Krämer",1,Lukas Huber,54281
33,2024-03-29 15:30,Kaiserstadt Kings,Hafenstadt Mariners,4-2,"Marco Huber, Mamadou Becker, Ismael Larsen, Patrick Krämer, Santiago Becker, Timo Lehmann",0,,1,Patrick Becker,44621
33,2024-03-29 18:30,Donnerwald Thunder,Sonnendorf Stars,3-1,"Ismael Schmidt, Ismael Huber, Mamadou Larsen, Florian Lehmann",3,"Emil Lehmann, Ismael Kaya, Mamadou Traoré",0,,21962
33,2024-03-29 15:30,Weserwind Wolves,Elbwelle Titans,2-4,"Jonas Larsen, Ismael Silva, Jonas Huber, Jonas Silva, Mamadou Müller, Marco Schmidt",4,"Lukas Huber, Emil Kaya, Mamadou Silva, Mamadou Lehmann",1,Lukas Huber,32437
33,2024-03-29 17:30,Alpenheim Warriors,Bergland Bears,5-0,"Patrick Krämer, Emil Silva, Jonas Traoré, Yusuf Becker, Patrick Kaya",0,,0,,21321
34,2024-04-05 20:30,Ostheim Phoenix,Bayerhafen Dynamo,0-2,"Yusuf Lehmann, Lukas Müller",4,"Emil Lehmann, Timo Huber, Marco Lehmann, Emil Müller",0,,24710
34,2024-04-05 15:30,Alpenheim Warriors,Adlerstadt Eagles,2-2,"Santiago Huber, Marco Müller, Lukas Silva, Florian Müller",0,,0,,23518
34,2024-04-05 15:30,Blitzstadt Lightning,Bergland Bears,1-0,Florian Silva,4,"Emil Becker, Ismael Lehmann, Patrick Kaya, Florian Becker",0,,42277
34,2024-04-05 15:30,Rheinblick Rovers,Weserwind Wolves,0-5,"Emil Kaya, Lukas Silva, Santiago Huber, Santiago Lehmann, Patrick Kaya",2,"Santiago Lehmann, Timo Becker",0,,45811
34,2024-04-05 15:30,Sonnendorf Stars,Kaiserstadt Kings,4-1,"Jonas Lehmann, Yusuf Becker, Ismael Larsen, Lukas Becker, Santiago Kaya",3,"Jonas Krämer, Yusuf Larsen, Timo Silva",1,Florian Kaya,26392
34,2024-04-05 15:30,Hafenstadt Mariners,Eisbach Falcons,2-2,"Ismael Larsen, Timo Lehmann, Patrick Becker, Lukas Krämer",2,"Yusuf Becker, Emil García",0,,38476
34,2024-04-05 18:30,Mainburg Lions,Schwarzwald Strikers,2-2,"Ismael García, Lukas Huber, Marco Larsen, Timo Müller",1,Ismael García,1,Lukas Huber,40783
34,2024-04-05 15:30,Nordsee Navigators,Hansestadt Gladiators,4-5,"Jonas Traoré, Emil Silva, Florian Larsen, Jonas Huber, Mamadou Becker, Ismael Kaya, Florian Traoré, Emil Traoré, Florian Huber",0,,0,,37024
34,2024-04-05 17:30,Donnerwald Thunder,Elbwelle Titans,2-2,"Florian Silva, Emil Lehmann, Patrick Larsen, Jonas Silva",4,"Ismael Silva, Emil Lehmann, Jonas Larsen, Florian Kaya",1,Jonas Silva,27264
